race,sex,age,priors_count,c_charge_degree,two_year_recid
African-American,Female,22,2,F,0
Hispanic,Male,43,0,M,0
Caucasian,Male,72,7,F,0
African-American,Male,33,3,F,1
African-American,Male,24,1,F,1
African-American,Male,60,0,F,0
Caucasian,Male,24,3,F,1
Other,Male,43,2,M,0
African-American,Male,30,1,M,0
Caucasian,Female,43,0,M,0
Hispanic,Male,48,1,M,0
Other,Male,54,0,M,0
African-American,Male,45,1,M,0
Other,Male,36,0,F,0
Caucasian,Male,31,1,M,0
African-American,Male,40,0,M,0
Caucasian,Male,50,1,F,0
Other,Female,26,1,M,0
African-American,Male,41,7,F,0
Caucasian,Male,34,5,F,1
Caucasian,Female,28,0,F,0
African-American,Male,30,1,F,0
Caucasian,Male,23,2,F,1
Hispanic,Female,37,0,M,1
Hispanic,Male,35,5,M,0
Caucasian,Male,21,1,F,1
African-American,Male,45,1,F,0
African-American,Female,22,2,M,1
African-American,Male,29,6,F,1
African-American,Female,30,0,M,0
Caucasian,Male,45,3,M,1
African-American,Female,24,2,F,0
Caucasian,Male,31,4,F,1
Caucasian,Male,56,0,M,0
Hispanic,Female,44,4,F,1
African-American,Male,24,14,F,1
African-American,Male,38,11,F,0
African-American,Male,51,22,F,1
Caucasian,Male,22,0,F,0
African-American,Male,28,5,M,0
African-American,Male,47,19,F,1
African-American,Male,51,0,M,1
Caucasian,Male,25,1,M,0
Hispanic,Male,53,1,F,0
African-American,Male,30,0,F,0
Caucasian,Male,33,0,F,1
African-American,Male,35,5,F,1
African-American,Female,33,0,F,0
African-American,Male,65,11,F,0
Other,Male,59,1,M,0
African-American,Female,37,4,M,0
Caucasian,Female,33,1,F,0
African-American,Male,27,2,F,1
African-American,Female,29,9,F,1
Native American,Male,26,11,F,1
African-American,Male,24,3,F,1
African-American,Male,43,5,F,0
African-American,Male,37,11,M,1
African-American,Male,53,13,F,0
African-American,Male,43,4,F,0
African-American,Male,26,4,F,1
Caucasian,Female,30,1,M,0
African-American,Male,27,6,F,1
Caucasian,Male,39,9,F,1
Caucasian,Male,37,4,M,1
Caucasian,Male,22,3,M,1
Caucasian,Male,25,0,F,0
Hispanic,Male,26,1,F,0
Caucasian,Female,28,0,M,0
African-American,Male,25,0,M,1
Caucasian,Male,58,1,F,0
Caucasian,Female,29,1,M,1
African-American,Male,33,8,F,0
African-American,Male,38,0,F,0
Caucasian,Male,38,2,F,0
African-American,Male,59,22,F,1
Other,Male,29,4,M,1
African-American,Male,57,9,F,0
Caucasian,Male,53,0,M,1
African-American,Male,33,2,F,1
Caucasian,Male,58,1,M,0
Caucasian,Male,51,1,M,0
African-American,Male,25,11,F,1
Caucasian,Male,53,2,F,0
Caucasian,Male,32,0,M,1
African-American,Male,35,6,F,1
Caucasian,Male,39,1,F,0
Hispanic,Male,36,1,M,0
Caucasian,Female,42,5,M,1
African-American,Male,37,0,M,0
Caucasian,Male,39,0,F,0
Caucasian,Female,52,3,M,0
Other,Male,60,1,M,0
Hispanic,Male,37,2,M,0
Caucasian,Male,42,4,F,1
Hispanic,Male,44,0,M,1
African-American,Male,23,6,F,1
African-American,Female,42,0,M,1
Caucasian,Female,28,2,F,0
African-American,Male,28,5,F,0
Caucasian,Male,38,12,F,0
African-American,Female,43,2,F,1
African-American,Male,42,0,F,0
Caucasian,Female,25,0,M,0
African-American,Male,32,7,F,1
African-American,Male,21,0,F,1
Caucasian,Female,35,1,M,0
Caucasian,Male,37,0,F,0
African-American,Female,33,2,F,0
Caucasian,Female,51,4,F,0
Caucasian,Male,39,3,F,0
Hispanic,Male,35,5,M,1
African-American,Male,40,3,F,0
African-American,Male,32,17,F,1
Caucasian,Male,18,4,F,1
Caucasian,Male,32,3,F,1
Other,Male,37,0,M,0
African-American,Male,32,10,F,1
Caucasian,Male,47,5,M,1
Caucasian,Female,23,0,M,0
Caucasian,Male,63,10,F,1
African-American,Male,38,16,F,1
African-American,Male,32,6,M,1
African-American,Male,31,4,F,1
African-American,Male,23,0,F,0
Hispanic,Male,38,1,M,0
Caucasian,Female,47,0,M,0
Caucasian,Male,33,1,F,1
Caucasian,Male,22,1,F,0
Caucasian,Male,26,1,M,0
Caucasian,Male,40,0,M,1
African-American,Male,36,14,F,1
Caucasian,Female,65,0,M,0
Caucasian,Male,44,4,M,1
African-American,Female,22,0,M,0
Hispanic,Male,34,0,M,0
Hispanic,Female,38,0,F,0
Caucasian,Female,26,4,F,1
Hispanic,Male,20,0,M,1
Hispanic,Male,49,0,F,0
African-American,Male,56,7,F,0
Caucasian,Male,52,2,F,1
Other,Male,25,2,M,1
African-American,Male,34,5,F,0
African-American,Male,33,1,M,1
African-American,Male,21,1,F,0
African-American,Male,46,9,F,0
African-American,Male,22,2,M,1
Caucasian,Male,57,1,M,0
African-American,Male,22,2,F,1
Caucasian,Female,48,1,M,1
African-American,Male,40,21,F,0
African-American,Female,30,1,F,0
Caucasian,Male,21,4,M,1
African-American,Female,39,22,F,1
Caucasian,Male,27,13,F,1
Caucasian,Female,33,0,M,1
African-American,Male,24,0,F,0
African-American,Male,43,0,F,1
Caucasian,Female,45,0,M,0
African-American,Male,51,3,F,0
African-American,Female,35,2,F,1
African-American,Male,31,9,M,1
Caucasian,Male,27,0,M,0
African-American,Male,32,1,F,0
Caucasian,Male,49,0,M,0
African-American,Male,29,2,F,0
African-American,Male,23,2,F,1
Asian,Male,30,6,M,0
African-American,Male,55,12,F,1
Caucasian,Male,30,0,M,0
African-American,Male,34,13,F,1
Caucasian,Male,56,2,F,0
African-American,Male,33,4,F,0
African-American,Male,28,1,M,0
African-American,Male,29,1,F,0
Caucasian,Male,38,0,M,0
Caucasian,Male,37,0,F,0
Caucasian,Female,33,0,M,1
Hispanic,Male,30,0,F,0
African-American,Male,51,19,F,0
African-American,Male,65,7,M,0
African-American,Female,32,1,M,0
Caucasian,Male,38,5,F,1
African-American,Male,35,1,F,0
Caucasian,Male,57,1,F,0
Caucasian,Male,26,1,F,0
Hispanic,Female,23,7,M,1
African-American,Female,36,4,M,1
Hispanic,Female,33,2,F,1
Caucasian,Male,35,3,F,1
African-American,Male,33,0,F,0
Caucasian,Male,47,0,M,0
Hispanic,Female,53,0,M,0
Other,Male,31,6,F,0
Caucasian,Male,35,1,M,1
African-American,Female,36,1,F,1
Caucasian,Female,25,0,M,0
Hispanic,Male,52,10,F,0
Hispanic,Male,23,3,M,1
African-American,Male,34,7,M,0
Caucasian,Male,51,6,F,1
African-American,Male,24,8,F,1
Caucasian,Male,32,0,F,1
African-American,Male,43,8,F,1
African-American,Male,45,20,M,0
African-American,Male,42,10,M,1
African-American,Male,22,1,F,1
African-American,Male,49,4,F,0
African-American,Male,42,0,F,1
Caucasian,Male,40,0,M,1
African-American,Male,25,2,F,1
Caucasian,Male,25,0,M,1
African-American,Male,23,0,F,0
Caucasian,Male,21,2,F,1
Caucasian,Male,31,3,M,0
African-American,Female,28,0,M,0
African-American,Male,24,11,F,1
Caucasian,Male,45,0,F,0
African-American,Male,23,2,M,1
African-American,Male,39,7,F,1
Caucasian,Male,25,2,F,0
African-American,Male,24,1,F,0
Caucasian,Male,46,1,F,0
Caucasian,Male,47,3,F,0
Caucasian,Male,54,2,M,1
African-American,Male,22,1,M,1
Caucasian,Female,34,0,M,0
Caucasian,Male,33,0,M,1
Caucasian,Male,27,1,M,0
African-American,Male,29,16,F,1
Hispanic,Male,34,3,M,0
African-American,Male,32,1,F,0
African-American,Male,29,0,M,0
Caucasian,Female,25,2,M,1
Caucasian,Male,34,16,F,1
African-American,Female,55,1,F,0
African-American,Male,27,0,F,1
African-American,Male,26,0,M,0
African-American,Male,39,19,F,1
African-American,Male,24,1,F,0
Caucasian,Male,29,0,M,0
Caucasian,Female,31,3,F,1
African-American,Male,50,13,F,1
Hispanic,Male,25,2,F,1
African-American,Male,31,4,F,1
Other,Male,31,0,M,0
Caucasian,Male,26,2,F,0
Caucasian,Male,54,2,F,0
African-American,Male,33,14,F,1
African-American,Male,22,0,M,1
African-American,Male,35,8,F,0
Other,Female,30,4,F,1
African-American,Male,25,0,F,0
African-American,Male,25,0,F,0
African-American,Male,44,0,F,1
Caucasian,Female,29,2,F,1
Caucasian,Male,46,2,F,1
Caucasian,Male,53,0,M,0
African-American,Male,24,2,F,1
African-American,Female,52,2,F,1
African-American,Male,27,0,M,1
Caucasian,Male,41,0,F,0
African-American,Female,21,0,F,1
Caucasian,Male,24,1,F,0
Caucasian,Male,38,8,F,0
Caucasian,Male,23,0,M,0
African-American,Male,42,0,F,0
Caucasian,Male,32,4,F,0
Hispanic,Male,24,3,M,1
African-American,Male,24,5,F,1
African-American,Male,26,4,F,1
Caucasian,Male,50,9,F,1
African-American,Female,32,3,M,0
African-American,Male,40,13,F,0
Caucasian,Male,25,1,M,1
Hispanic,Male,42,1,F,0
African-American,Male,27,2,F,0
Caucasian,Male,23,0,F,1
African-American,Male,37,22,M,1
African-American,Male,32,1,M,1
African-American,Male,38,2,M,1
Caucasian,Male,52,4,M,1
Caucasian,Male,29,2,F,0
African-American,Male,28,7,M,1
African-American,Male,49,0,M,0
Caucasian,Male,50,0,F,0
Caucasian,Male,26,2,F,1
Caucasian,Female,34,0,F,1
Caucasian,Female,28,1,F,0
Caucasian,Male,36,4,F,1
African-American,Male,45,1,F,1
African-American,Male,30,0,F,1
African-American,Male,24,3,F,1
African-American,Male,25,0,M,1
African-American,Male,25,4,M,1
Caucasian,Male,45,2,F,0
Caucasian,Male,26,1,F,1
Other,Male,37,2,F,0
Hispanic,Male,24,0,M,0
Caucasian,Male,40,2,M,0
Caucasian,Male,60,1,M,0
Hispanic,Female,33,0,F,0
African-American,Male,31,6,F,0
Hispanic,Male,53,18,F,0
Hispanic,Male,55,0,M,0
Caucasian,Male,36,4,M,0
Other,Male,30,6,F,1
African-American,Male,21,1,F,1
Caucasian,Male,55,0,M,0
Caucasian,Male,22,1,F,1
African-American,Female,23,1,F,0
Caucasian,Female,24,7,M,1
African-American,Female,40,13,F,1
Caucasian,Male,57,9,F,1
Caucasian,Male,33,0,M,1
Caucasian,Male,32,2,F,0
Caucasian,Male,47,3,F,0
Caucasian,Male,51,6,M,1
African-American,Male,22,1,F,0
Caucasian,Male,47,2,F,0
Caucasian,Male,28,1,F,1
African-American,Male,21,1,F,1
African-American,Male,28,5,F,0
Caucasian,Female,44,1,M,1
African-American,Male,25,0,F,1
African-American,Male,34,4,M,0
Caucasian,Male,65,0,M,0
Caucasian,Male,33,5,F,1
Caucasian,Female,23,0,M,0
Caucasian,Female,44,0,M,0
Hispanic,Male,21,1,F,1
African-American,Male,24,1,M,0
Caucasian,Male,51,1,M,0
African-American,Female,21,0,F,1
Caucasian,Male,39,6,F,0
African-American,Male,29,29,F,1
Caucasian,Male,24,1,F,0
African-American,Female,23,0,F,1
African-American,Male,31,11,F,1
African-American,Female,35,0,M,0
Other,Male,30,0,F,0
Caucasian,Male,34,8,F,0
African-American,Female,39,4,F,0
African-American,Male,29,6,M,0
Caucasian,Male,51,0,M,0
Caucasian,Male,22,1,F,0
Caucasian,Male,29,2,F,0
Caucasian,Male,35,8,F,1
Caucasian,Male,32,6,F,1
Caucasian,Male,33,3,M,1
Caucasian,Male,58,5,F,1
Other,Male,54,0,F,0
African-American,Male,30,3,F,0
African-American,Male,33,2,F,1
African-American,Male,24,0,F,1
African-American,Male,48,10,F,0
African-American,Male,23,0,M,0
Caucasian,Male,23,2,F,1
Asian,Male,47,1,M,0
Other,Male,21,0,F,0
African-American,Male,29,0,M,1
Caucasian,Male,48,2,F,0
Caucasian,Male,37,4,M,1
Caucasian,Male,50,3,F,0
African-American,Male,19,3,F,1
Caucasian,Male,39,2,M,0
African-American,Male,49,13,F,0
Caucasian,Male,58,2,F,0
African-American,Male,31,6,F,0
African-American,Male,23,1,M,0
African-American,Female,23,0,F,1
Caucasian,Male,31,17,F,1
Other,Male,33,0,F,1
Caucasian,Male,57,6,F,0
Caucasian,Female,31,0,M,0
African-American,Male,57,19,F,0
Caucasian,Male,57,12,M,0
African-American,Male,29,6,M,1
African-American,Male,30,0,M,1
African-American,Male,45,11,F,0
Caucasian,Male,42,0,F,0
Other,Male,48,7,F,0
African-American,Male,29,12,F,1
Caucasian,Male,23,0,F,0
Caucasian,Female,28,0,F,0
African-American,Male,41,3,F,0
African-American,Male,25,1,M,1
Caucasian,Female,34,3,M,0
African-American,Male,53,26,F,1
African-American,Female,28,1,F,1
African-American,Male,27,0,F,0
African-American,Male,39,4,F,0
Caucasian,Female,55,6,F,0
African-American,Male,27,4,F,1
Caucasian,Male,30,7,F,1
African-American,Male,31,15,M,1
African-American,Male,20,1,M,1
Caucasian,Male,26,2,F,1
African-American,Male,44,7,F,1
African-American,Male,33,17,F,1
Caucasian,Male,34,0,F,1
Caucasian,Male,27,0,M,0
African-American,Male,21,1,F,1
African-American,Male,29,4,F,0
African-American,Male,27,7,F,0
Caucasian,Female,24,0,F,0
African-American,Male,29,0,F,1
Caucasian,Male,20,0,F,0
Caucasian,Female,23,0,F,0
African-American,Female,48,0,M,0
African-American,Male,34,0,M,1
African-American,Male,46,1,M,1
Caucasian,Female,41,3,F,0
African-American,Male,26,3,F,1
African-American,Male,37,11,F,1
Caucasian,Female,54,7,F,0
African-American,Female,25,5,M,0
Caucasian,Female,22,2,F,0
African-American,Male,32,7,F,0
African-American,Male,44,0,M,0
African-American,Male,28,1,F,0
African-American,Male,60,3,M,0
Caucasian,Male,49,0,F,0
African-American,Male,32,9,F,0
African-American,Male,30,10,M,1
Caucasian,Male,52,0,F,0
African-American,Female,27,1,M,0
African-American,Male,34,0,F,0
African-American,Male,55,5,F,1
African-American,Male,37,6,M,0
African-American,Male,33,0,M,0
African-American,Male,22,0,F,1
African-American,Female,27,0,M,0
African-American,Male,20,0,F,1
Caucasian,Male,33,0,F,0
African-American,Male,26,0,M,0
African-American,Male,29,0,M,0
African-American,Male,32,1,M,0
Caucasian,Male,37,4,M,0
African-American,Male,31,15,F,0
African-American,Male,29,6,F,1
African-American,Male,31,6,F,0
Caucasian,Female,36,2,F,0
African-American,Male,35,4,M,0
African-American,Female,37,1,F,0
Caucasian,Male,34,5,M,1
Caucasian,Male,20,1,M,1
African-American,Female,50,12,M,1
Caucasian,Male,24,8,F,1
African-American,Male,29,8,M,1
African-American,Female,45,1,F,0
Caucasian,Male,34,2,F,1
African-American,Male,70,0,M,0
African-American,Male,26,2,F,0
African-American,Male,23,4,F,0
Caucasian,Male,27,5,M,0
Caucasian,Male,44,6,F,1
African-American,Male,23,2,M,1
African-American,Male,26,0,M,0
Caucasian,Female,23,2,M,0
African-American,Male,27,3,F,1
Caucasian,Female,46,1,F,0
African-American,Female,27,1,F,0
Caucasian,Male,45,7,F,0
African-American,Male,42,1,M,0
Caucasian,Female,24,3,M,1
African-American,Male,20,2,F,1
Caucasian,Male,49,3,F,0
Caucasian,Male,29,8,M,1
Hispanic,Male,29,0,F,0
Caucasian,Female,52,1,F,0
Hispanic,Male,37,4,M,1
African-American,Male,26,1,M,0
African-American,Male,53,15,F,1
Hispanic,Male,47,1,F,0
African-American,Male,38,0,M,1
African-American,Male,25,1,F,0
African-American,Male,21,1,F,1
African-American,Male,48,0,M,0
Caucasian,Female,40,1,F,0
Other,Female,24,0,F,0
African-American,Male,22,0,F,1
African-American,Male,36,4,M,0
Caucasian,Male,38,2,M,0
Other,Male,23,0,F,1
Other,Male,54,2,M,0
Hispanic,Male,24,1,F,0
Caucasian,Female,44,0,M,1
African-American,Female,23,2,F,1
Caucasian,Male,64,0,M,0
Caucasian,Male,38,5,M,1
Other,Female,45,0,M,0
African-American,Male,49,1,F,0
African-American,Female,45,3,F,0
Asian,Male,33,0,M,0
Hispanic,Male,44,2,F,0
African-American,Male,51,3,F,0
African-American,Male,50,0,F,0
Caucasian,Male,33,2,M,0
Caucasian,Female,54,0,M,0
Hispanic,Male,28,3,F,1
Caucasian,Male,33,14,F,0
African-American,Male,42,17,M,1
Caucasian,Male,34,3,F,0
Caucasian,Male,38,2,F,1
African-American,Male,21,1,F,1
African-American,Male,33,5,F,0
African-American,Male,32,9,M,1
Caucasian,Male,45,1,M,0
Caucasian,Male,30,1,F,1
African-American,Female,29,0,F,0
African-American,Male,44,3,M,0
Caucasian,Female,51,0,M,1
African-American,Female,28,0,F,0
Caucasian,Male,27,1,F,0
Hispanic,Male,28,16,F,1
African-American,Female,30,0,F,0
African-American,Male,32,0,M,0
Caucasian,Male,27,5,F,0
Hispanic,Male,21,1,F,1
African-American,Male,21,0,F,0
Caucasian,Female,34,0,F,1
African-American,Male,24,7,F,1
Caucasian,Male,32,0,M,0
Caucasian,Female,38,5,F,1
African-American,Male,56,3,M,0
African-American,Female,44,0,M,0
African-American,Male,31,1,M,1
Caucasian,Female,25,6,F,0
African-American,Female,20,0,M,0
African-American,Male,35,1,M,0
African-American,Male,33,1,F,1
African-American,Male,24,0,M,0
Hispanic,Female,40,2,M,0
African-American,Male,27,9,F,1
African-American,Female,21,2,M,0
African-American,Male,38,9,F,1
Caucasian,Male,20,0,F,1
African-American,Male,30,9,F,1
Caucasian,Male,36,9,F,1
African-American,Male,23,2,M,1
African-American,Male,39,21,F,1
African-American,Male,32,3,M,0
Caucasian,Male,29,3,F,1
Caucasian,Male,58,2,M,1
Hispanic,Male,23,2,F,0
Caucasian,Male,23,3,M,1
African-American,Female,68,5,F,0
Caucasian,Female,26,2,M,0
African-American,Male,51,0,F,1
African-American,Male,25,0,M,0
African-American,Male,40,5,F,1
African-American,Male,51,14,F,0
African-American,Male,27,2,M,1
African-American,Male,49,11,M,1
Other,Male,36,0,M,0
Caucasian,Male,28,5,M,0
African-American,Male,20,0,F,0
African-American,Male,21,2,F,1
African-American,Female,31,0,F,0
African-American,Male,57,0,M,0
Caucasian,Female,61,8,F,1
Hispanic,Male,35,3,F,1
African-American,Male,54,3,F,1
Caucasian,Male,39,0,F,0
African-American,Male,24,1,F,0
Hispanic,Female,29,0,F,1
African-American,Male,48,8,F,1
African-American,Male,30,6,M,1
African-American,Male,26,10,F,1
Caucasian,Male,36,2,F,0
African-American,Male,37,12,F,1
African-American,Male,26,4,F,1
African-American,Male,29,7,M,1
African-American,Male,26,1,M,1
African-American,Male,60,2,F,0
Caucasian,Male,27,2,F,1
African-American,Male,41,16,F,1
Caucasian,Male,22,1,F,0
African-American,Male,28,3,F,0
African-American,Male,33,13,F,1
African-American,Male,28,2,F,0
Caucasian,Male,55,0,M,1
African-American,Male,21,6,F,1
Hispanic,Male,28,2,F,1
Hispanic,Female,22,0,M,0
Caucasian,Female,29,6,F,1
African-American,Male,45,5,F,0
African-American,Male,24,2,M,1
African-American,Male,50,12,F,1
African-American,Male,24,1,M,1
African-American,Male,47,1,F,0
Caucasian,Male,57,1,M,0
Caucasian,Male,54,6,F,0
Caucasian,Female,42,0,M,0
Caucasian,Male,35,5,F,0
African-American,Male,30,0,F,1
Caucasian,Male,53,1,F,0
African-American,Female,31,2,M,0
Caucasian,Male,83,4,F,0
Hispanic,Male,46,15,F,0
African-American,Male,31,0,F,1
Other,Male,23,4,F,0
African-American,Male,47,9,F,0
Hispanic,Male,31,4,F,0
African-American,Male,50,0,M,0
African-American,Male,24,9,M,1
African-American,Female,22,2,F,0
Hispanic,Male,45,1,M,0
African-American,Female,30,2,F,0
Other,Male,30,5,M,1
African-American,Male,36,4,M,0
Caucasian,Female,43,22,M,1
African-American,Male,50,0,M,0
Other,Female,24,2,F,1
Caucasian,Female,42,3,F,0
Caucasian,Female,29,1,F,1
Hispanic,Female,28,2,F,0
Hispanic,Male,31,0,M,0
African-American,Male,25,5,F,1
African-American,Male,36,4,F,0
African-American,Male,24,1,M,1
Caucasian,Male,28,5,F,0
Caucasian,Male,31,0,M,1
African-American,Male,23,0,F,0
Caucasian,Male,29,4,M,1
African-American,Male,51,11,M,1
African-American,Male,34,1,F,0
African-American,Male,29,12,F,1
African-American,Male,39,13,F,1
Hispanic,Female,36,0,M,0
African-American,Male,59,15,M,1
African-American,Male,23,3,F,1
African-American,Male,31,15,F,0
Caucasian,Male,53,0,M,0
African-American,Male,34,12,F,0
African-American,Female,63,1,F,0
Other,Male,21,0,F,1
African-American,Female,21,0,F,1
Caucasian,Male,47,28,F,1
African-American,Male,34,7,F,1
African-American,Male,43,1,M,0
Caucasian,Male,58,4,F,1
Hispanic,Female,40,4,F,1
African-American,Male,36,16,F,1
African-American,Female,23,0,M,0
African-American,Male,34,5,F,1
Caucasian,Male,56,13,F,0
Caucasian,Female,52,0,F,0
African-American,Male,56,0,F,0
African-American,Female,37,0,M,0
Caucasian,Female,50,0,M,0
African-American,Male,25,1,F,1
African-American,Male,22,0,F,1
Caucasian,Female,43,0,M,1
Caucasian,Male,30,1,M,0
Asian,Male,29,0,F,0
Caucasian,Male,24,0,F,0
African-American,Male,29,7,M,1
Caucasian,Female,27,3,F,0
Caucasian,Female,24,0,F,0
African-American,Female,74,0,F,0
African-American,Male,27,8,M,1
Hispanic,Male,37,1,F,1
African-American,Male,39,8,F,1
Caucasian,Male,29,5,F,0
African-American,Male,25,0,M,1
African-American,Female,35,5,F,0
African-American,Male,29,1,M,1
Caucasian,Male,36,1,F,0
African-American,Male,61,13,F,1
Caucasian,Male,26,2,F,0
African-American,Male,28,1,M,0
African-American,Female,26,1,F,0
Caucasian,Female,39,11,F,1
African-American,Male,22,3,F,1
Caucasian,Male,28,0,F,0
Caucasian,Male,51,1,F,1
Hispanic,Female,35,0,M,0
African-American,Female,23,0,M,0
African-American,Male,29,6,F,1
Other,Male,20,0,F,1
African-American,Male,24,1,M,1
Hispanic,Female,23,2,M,0
African-American,Female,33,5,F,0
Caucasian,Male,21,1,F,1
Caucasian,Male,59,3,M,0
Caucasian,Male,26,4,F,1
Caucasian,Male,36,0,M,0
Other,Male,38,2,F,0
Caucasian,Male,19,5,M,1
Hispanic,Male,28,2,F,0
Hispanic,Male,23,2,F,1
African-American,Male,21,1,F,1
African-American,Male,52,0,M,1
African-American,Male,56,12,F,1
Caucasian,Male,40,1,M,0
Caucasian,Female,48,8,M,1
African-American,Male,24,2,M,0
African-American,Female,26,0,F,0
African-American,Male,59,5,M,0
Caucasian,Male,66,1,F,1
African-American,Female,54,6,F,0
Caucasian,Male,31,4,M,1
Caucasian,Male,34,0,F,0
African-American,Male,25,9,F,1
Caucasian,Male,47,2,F,0
African-American,Male,51,12,F,1
Caucasian,Male,25,1,F,0
Other,Male,25,0,F,1
African-American,Female,31,2,F,1
Hispanic,Male,44,2,F,1
Caucasian,Male,36,1,F,0
Caucasian,Male,77,3,F,0
Caucasian,Male,49,0,M,0
African-American,Male,31,0,F,0
Caucasian,Male,30,1,F,0
African-American,Male,29,3,F,1
Caucasian,Female,53,6,F,1
African-American,Male,21,1,F,1
African-American,Male,21,0,F,0
African-American,Female,27,1,F,1
African-American,Female,65,0,F,0
Caucasian,Female,59,0,M,0
African-American,Male,59,0,M,0
African-American,Male,24,0,M,0
African-American,Male,40,0,F,0
African-American,Male,51,0,F,1
African-American,Male,34,10,F,1
Hispanic,Male,30,1,F,1
African-American,Male,52,1,F,0
Caucasian,Male,29,1,F,1
African-American,Male,24,15,F,1
African-American,Male,38,2,F,1
African-American,Female,22,0,F,0
African-American,Male,43,0,F,0
Caucasian,Male,32,5,F,1
African-American,Male,55,0,F,0
African-American,Male,26,2,F,0
Caucasian,Male,23,1,M,0
Other,Female,47,0,F,0
Caucasian,Male,28,1,M,1
Hispanic,Male,27,0,F,1
Hispanic,Male,61,2,F,1
African-American,Male,26,0,F,0
Hispanic,Male,41,1,M,0
Caucasian,Female,28,1,M,1
African-American,Male,43,0,F,1
Caucasian,Male,30,3,F,0
African-American,Male,33,21,M,1
Caucasian,Male,21,0,M,0
Caucasian,Female,32,0,M,0
African-American,Male,22,1,F,1
African-American,Male,51,3,F,0
African-American,Male,20,2,F,1
Caucasian,Male,35,2,F,0
African-American,Female,37,3,F,0
African-American,Male,28,0,M,1
Caucasian,Male,41,3,M,1
African-American,Male,24,0,M,1
African-American,Female,33,3,M,0
African-American,Male,25,4,F,1
Caucasian,Female,30,4,F,0
African-American,Male,20,1,F,1
African-American,Female,42,1,F,0
African-American,Female,40,15,F,1
African-American,Male,39,0,F,1
African-American,Male,21,0,F,0
Caucasian,Male,39,2,F,1
Caucasian,Male,24,0,F,0
African-American,Male,41,0,F,0
African-American,Male,39,1,F,0
African-American,Female,24,3,F,0
African-American,Female,24,1,F,0
African-American,Male,29,0,M,1
African-American,Male,39,35,F,0
Caucasian,Male,25,2,M,1
Caucasian,Female,23,0,F,1
African-American,Male,22,1,F,1
Other,Female,26,4,M,1
African-American,Male,26,3,M,1
African-American,Female,24,3,M,1
African-American,Male,44,0,M,0
Caucasian,Male,36,1,F,1
Caucasian,Male,39,10,F,1
Caucasian,Male,42,0,F,0
Caucasian,Male,45,1,M,0
African-American,Male,25,7,F,1
Caucasian,Female,28,7,F,0
Caucasian,Male,33,0,F,0
Caucasian,Male,25,0,M,0
African-American,Male,32,5,F,0
African-American,Male,23,0,F,0
Caucasian,Male,39,0,M,0
African-American,Male,27,12,F,1
Caucasian,Female,35,4,M,0
African-American,Male,23,1,F,0
African-American,Female,38,0,M,0
African-American,Male,30,4,F,0
Caucasian,Male,30,1,F,0
Caucasian,Female,30,0,M,0
African-American,Male,26,18,F,1
African-American,Male,31,2,F,0
Caucasian,Female,41,1,M,0
Other,Male,34,0,F,0
African-American,Female,25,0,M,0
Caucasian,Female,26,1,F,0
African-American,Male,38,2,F,1
African-American,Female,37,0,M,0
Caucasian,Male,34,3,M,0
Hispanic,Male,44,7,F,1
Hispanic,Female,38,0,F,0
African-American,Female,31,0,M,0
Caucasian,Female,29,0,M,0
Caucasian,Male,20,1,F,1
African-American,Male,22,0,F,0
Hispanic,Female,51,0,M,0
African-American,Male,24,2,M,1
African-American,Male,47,0,F,1
African-American,Female,36,1,F,1
African-American,Male,21,1,M,0
African-American,Male,25,3,M,1
African-American,Male,23,5,F,1
Other,Male,23,0,M,0
Caucasian,Female,24,0,M,0
Caucasian,Male,35,2,F,1
Hispanic,Female,23,0,M,0
African-American,Female,19,0,M,1
Caucasian,Male,32,0,F,1
Caucasian,Female,39,0,M,1
African-American,Male,30,12,F,1
African-American,Male,33,2,F,0
Caucasian,Male,20,0,M,1
Caucasian,Female,36,0,M,0
Hispanic,Male,61,1,F,0
African-American,Male,29,8,F,1
Caucasian,Female,40,0,F,0
African-American,Male,53,4,F,0
Caucasian,Female,28,0,M,0
Hispanic,Male,38,2,M,0
African-American,Male,27,9,F,1
Caucasian,Male,55,0,F,0
African-American,Male,22,1,M,0
African-American,Female,34,1,F,0
Caucasian,Male,55,1,M,0
Hispanic,Male,24,2,F,0
African-American,Female,47,21,M,1
Other,Male,41,0,M,0
Hispanic,Male,41,0,F,0
African-American,Male,61,12,F,0
African-American,Male,57,3,F,0
Caucasian,Female,38,2,M,0
Caucasian,Male,25,13,F,1
African-American,Male,23,0,F,1
Caucasian,Male,23,3,F,0
African-American,Male,20,0,F,0
Caucasian,Male,44,1,F,0
Caucasian,Female,38,1,M,0
African-American,Male,56,5,F,1
Caucasian,Male,43,2,F,1
African-American,Male,22,0,F,1
African-American,Male,31,6,F,1
Other,Male,32,0,F,0
African-American,Male,29,0,F,0
African-American,Male,22,1,F,1
African-American,Male,23,3,F,1
Caucasian,Male,24,1,F,0
Other,Male,45,0,M,0
African-American,Male,21,2,F,0
African-American,Female,29,0,M,0
Caucasian,Female,51,0,M,1
Hispanic,Male,36,2,M,1
African-American,Male,25,1,F,0
Hispanic,Male,46,13,F,0
African-American,Male,62,22,F,1
African-American,Male,25,0,F,1
Caucasian,Male,27,2,F,0
African-American,Male,49,0,M,0
Caucasian,Female,22,3,F,1
Caucasian,Female,34,9,M,1
